basin_ID,nse,alpha-nse,beta-nse,fhv,fms,flv,kge,beta-kge,peak-timing,peak-mape,pearson-r
01013500,8.0881e-01,8.4365e-01,1.0249e+00,-2.7621e+00,-2.5107e+01,-5.6936e+01,8.1351e-01,1.0249e+00,1.2333e+00,2.6008e+01,9.0144e-01
01022500,6.9057e-01,8.5657e-01,9.5509e-01,-1.9205e+01,2.0765e+00,-2.4586e+01,7.7482e-01,9.5509e-01,6.1905e-01,4.1054e+01,8.3231e-01
01030500,7.9594e-01,8.0358e-01,9.2660e-01,-1.3080e+01,-2.6767e+01,1.1868e+01,7.6729e-01,9.2660e-01,1.3333e+00,2.8462e+01,8.9909e-01
01031500,7.6567e-01,9.1432e-01,9.1923e-01,-4.7065e+00,4.9164e+00,-6.0171e+01,8.2976e-01,9.1923e-01,5.1220e-01,3.7250e+01,8.7706e-01
01047000,6.7745e-01,9.1817e-01,8.5214e-01,-5.5002e+00,1.3602e+01,-1.8710e+02,7.6207e-01,8.5214e-01,7.3810e-01,3.9696e+01,8.3251e-01
01052500,6.5477e-01,9.4511e-01,1.0380e+00,-2.6050e+00,-1.1169e+01,-1.5723e+02,8.0733e-01,1.0380e+00,8.1395e-01,4.3475e+01,8.1928e-01
01054200,4.2578e-01,9.8471e-01,9.3292e-01,-2.7680e+00,3.9628e+01,-3.5954e+02,7.0110e-01,9.3292e-01,6.1905e-01,5.2967e+01,7.0912e-01
01055000,4.8792e-01,1.0048e+00,9.1347e-01,1.4668e+00,3.8506e+01,-2.7511e+02,7.3181e-01,9.1347e-01,7.2093e-01,4.8361e+01,7.4620e-01
01057000,6.0031e-01,9.2115e-01,9.0620e-01,-7.5355e+00,1.2623e+01,-1.6846e+02,7.5517e-01,9.0620e-01,1.2791e+00,5.4491e+01,7.8804e-01
01073000,6.9297e-01,9.7030e-01,8.3704e-01,-6.9892e+00,4.1716e+01,-1.6572e+01,7.7483e-01,8.3704e-01,9.5000e-01,5.1803e+01,8.4747e-01
01078000,6.3243e-01,9.0197e-01,8.9284e-01,-1.0124e+01,1.3068e+01,-2.8778e+02,7.5644e-01,8.9284e-01,1.0750e+00,4.9540e+01,8.0448e-01
01118300,6.2662e-01,9.2845e-01,8.5910e-01,-1.1197e+01,2.0039e+01,-9.4964e+00,7.5117e-01,8.5910e-01,9.5556e-01,5.7500e+01,8.0780e-01
01121000,4.0165e-01,8.3433e-01,8.7328e-01,-2.2433e+01,2.1447e+01,-7.6491e+01,6.0320e-01,8.7328e-01,1.5333e+00,7.6390e+01,6.6244e-01
01123000,4.2540e-01,9.0168e-01,9.2446e-01,-1.6834e+01,2.9139e+01,-4.1782e+02,6.6475e-01,9.2446e-01,1.3721e+00,6.7157e+01,6.8852e-01
01134500,6.4268e-01,9.4352e-01,9.8103e-01,-5.0289e+00,3.9133e+00,-2.8519e+01,8.0318e-01,9.8103e-01,6.0870e-01,4.0676e+01,8.1242e-01
01137500,3.6111e-01,8.3067e-01,1.0398e+00,-1.7283e+01,-5.9697e+00,-4.4345e+02,5.9401e-01,1.0398e+00,1.3333e+00,6.2772e+01,6.3316e-01
01139000,4.9331e-01,7.6361e-01,8.9915e-01,-2.4213e+01,-9.1739e+00,-2.1414e+02,6.1230e-01,8.9915e-01,1.6735e+00,6.4004e+01,7.0973e-01
01139800,5.1403e-01,6.9216e-01,9.2942e-01,-2.3712e+01,-3.3772e+01,1.6787e+01,5.7807e-01,9.2942e-01,1.9565e+00,6.5520e+01,7.2022e-01
01142500,5.3164e-01,6.9946e-01,8.7933e-01,-2.9794e+01,-1.5913e+01,-5.0577e+01,5.8223e-01,8.7933e-01,1.5122e+00,6.6396e+01,7.3609e-01
01144000,5.3900e-01,8.1323e-01,9.1729e-01,-2.0880e+01,-7.1529e+00,-1.2678e+02,6.6982e-01,9.1729e-01,1.3953e+00,6.2509e+01,7.4058e-01
01162500,6.7434e-01,9.4025e-01,1.0344e+00,-6.7389e+00,-1.2391e+01,1.3659e+01,8.1569e-01,1.0344e+00,6.0976e-01,4.0908e+01,8.2906e-01
01169000,4.5959e-01,8.5435e-01,9.6674e-01,-1.6883e+01,3.7501e+00,-1.4197e+02,6.6161e-01,9.6674e-01,1.4878e+00,6.9973e+01,6.9638e-01
01170100,4.3095e-01,7.4764e-01,9.6674e-01,-2.8021e+01,-1.2988e+01,-3.0368e+02,5.7716e-01,9.6674e-01,1.8421e+00,7.5606e+01,6.6236e-01
01181000,4.1138e-01,8.2074e-01,9.2079e-01,-2.3239e+01,2.8989e+00,-1.2201e+02,6.0961e-01,9.2079e-01,1.5610e+00,6.6826e+01,6.6236e-01
01187300,3.4791e-01,7.2564e-01,9.2306e-01,-3.2954e+01,-2.6665e+00,-4.4166e+01,5.1199e-01,9.2306e-01,1.5238e+00,7.7558e+01,6.0382e-01
01333000,5.0407e-01,8.0431e-01,9.2165e-01,-2.1713e+01,-1.1966e+01,-9.5827e+01,6.4786e-01,9.2165e-01,1.4186e+00,6.1311e+01,7.1792e-01
01350000,4.1420e-01,7.9125e-01,9.5985e-01,-2.3280e+01,-9.3741e+00,-2.7285e+02,5.9700e-01,9.5985e-01,1.3250e+00,6.4362e+01,6.5762e-01
01350140,4.4430e-01,7.4496e-01,9.9706e-01,-2.7928e+01,-2.7828e+01,-5.1606e+01,5.8346e-01,9.9706e-01,1.5263e+00,6.9932e+01,6.7068e-01
01365000,4.5550e-01,8.0183e-01,8.5409e-01,-2.3413e+01,9.2764e+00,-2.2330e+02,6.0518e-01,8.5409e-01,1.2143e+00,6.4871e+01,6.9126e-01
01411300,4.8310e-01,7.6431e-01,8.8956e-01,-3.3841e+01,4.3830e+01,-1.8090e+01,6.0832e-01,8.8956e-01,6.4103e-01,5.9775e+01,7.0731e-01
01413500,5.1519e-01,8.5337e-01,1.0272e+00,-1.3806e+01,-1.4868e+01,-8.7199e+01,6.9044e-01,1.0272e+00,1.2308e+00,5.3656e+01,7.2873e-01
01414500,3.9679e-01,7.7944e-01,9.3194e-01,-2.3847e+01,-7.4069e-02,-3.4679e+02,5.7704e-01,9.3194e-01,1.1778e+00,6.6105e+01,6.4558e-01
01415000,4.3425e-01,8.5258e-01,1.0317e+00,-1.4074e+01,-1.3184e+01,-6.0920e+01,6.4737e-01,1.0317e+00,1.3590e+00,6.1814e+01,6.8124e-01
01423000,5.9941e-01,8.9227e-01,9.4439e-01,-9.1416e+00,-1.7317e+00,-4.0312e+02,7.5126e-01,9.4439e-01,1.0244e+00,5.3474e+01,7.8281e-01
01435000,3.6250e-01,8.3665e-01,8.4915e-01,-1.6206e+01,3.3762e+01,-3.5841e+02,5.7703e-01,8.4915e-01,1.2826e+00,6.2861e+01,6.4019e-01
01439500,6.3624e-01,8.6049e-01,8.0375e-01,-1.3612e+01,1.3516e+01,-1.9133e+02,6.9713e-01,8.0375e-01,8.7805e-01,5.2075e+01,8.1627e-01
01440000,4.5838e-01,7.6041e-01,7.5068e-01,-2.6633e+01,3.4208e+01,-2.1728e+02,5.4660e-01,7.5068e-01,1.5000e+00,6.8733e+01,7.0672e-01
01440400,4.6089e-01,7.4256e-01,7.7062e-01,-2.7823e+01,2.4195e+01,-2.0024e+02,5.4264e-01,7.7062e-01,1.2308e+00,6.7433e+01,6.9952e-01
01451800,5.7154e-01,9.1566e-01,8.4875e-01,-1.0626e+01,4.5868e+01,-1.6987e+02,7.1558e-01,8.4875e-01,1.2045e+00,6.4939e+01,7.7437e-01
01466500,-1.3764e+00,1.7462e+00,1.5517e+00,3.0195e+01,7.2043e+01,-8.5704e+02,2.8199e-02,1.5517e+00,1.2353e+00,4.4994e+01,7.1144e-01
01484100,3.2052e-01,7.6919e-01,7.3037e-01,-3.1535e+01,1.2733e+02,-2.1583e+01,4.8340e-01,7.3037e-01,1.4737e+00,7.7578e+01,6.2463e-01
01485500,6.9168e-01,7.7792e-01,7.4265e-01,-2.4628e+01,1.1644e+02,-3.9740e+02,6.2665e-01,7.4265e-01,7.9487e-01,5.5699e+01,8.4558e-01
01486000,5.0545e-01,9.2437e-01,8.8586e-01,-1.3391e+01,1.1075e+02,-5.0080e+02,7.0409e-01,8.8586e-01,1.1429e+00,6.6170e+01,7.3768e-01
01487000,5.5000e-01,8.8702e-01,7.4568e-01,-2.0451e+01,5.7926e+01,-1.9672e+02,6.5425e-01,7.4568e-01,1.0286e+00,6.9168e+01,7.9483e-01
01491000,6.8884e-01,8.5768e-01,7.6499e-01,-2.0888e+01,1.3914e+02,-7.3596e+01,6.8319e-01,7.6499e-01,,5.5983e+01,8.4224e-01
01510000,6.3179e-01,8.9930e-01,9.0299e-01,-9.9908e+00,-4.0588e-01,-2.2118e+02,7.5869e-01,9.0299e-01,8.7179e-01,4.8965e+01,8.0333e-01
01516500,2.1767e-01,6.6331e-01,1.1137e+00,-3.3279e+01,-4.0878e+00,-3.6709e+01,3.8431e-01,1.1137e+00,1.5526e+00,7.8926e+01,4.9723e-01
01532000,3.6821e-01,8.2300e-01,9.4504e-01,-7.7027e+00,3.4921e+01,-2.7927e+02,5.9111e-01,9.4504e-01,1.1389e+00,5.9413e+01,6.3552e-01
01539000,5.5420e-01,9.2319e-01,8.0050e-01,-8.5108e+00,4.5590e+01,-4.0113e+02,6.8761e-01,8.0050e-01,9.5652e-01,5.4750e+01,7.7221e-01
01542810,5.1586e-01,9.0994e-01,9.3108e-01,-7.3594e+00,6.8384e+00,-2.1662e+02,7.1557e-01,9.3108e-01,7.1795e-01,5.1363e+01,7.3916e-01
01543000,6.2688e-01,9.0109e-01,8.7935e-01,-8.6960e+00,1.9721e+01,-1.4081e+02,7.4765e-01,8.7935e-01,6.7500e-01,4.4729e+01,8.0166e-01
01543500,6.7758e-01,9.2464e-01,9.6396e-01,-7.6723e+00,1.3980e+00,-1.4746e+02,8.0975e-01,9.6396e-01,6.3415e-01,4.1026e+01,8.2907e-01
01544500,6.0857e-01,8.9148e-01,8.4776e-01,-1.0384e+01,1.6817e+01,-3.4441e+02,7.2039e-01,8.4776e-01,7.0270e-01,4.5871e+01,7.9208e-01
01545600,6.0620e-01,9.2741e-01,9.3585e-01,-2.3715e+00,2.8153e+00,-1.3941e+02,7.7012e-01,9.3585e-01,6.1111e-01,4.2121e+01,7.9153e-01
01547700,4.8289e-01,9.0436e-01,8.6268e-01,-7.0197e+00,5.2498e+01,-2.9455e+02,6.7569e-01,8.6268e-01,1.0500e+00,6.6818e+01,7.2220e-01
01548500,6.2242e-01,9.2701e-01,8.5219e-01,-4.5605e+00,1.7712e+01,-3.3247e+02,7.4402e-01,8.5219e-01,8.9189e-01,4.9157e+01,8.0416e-01
01549500,4.5935e-01,8.0546e-01,8.4103e-01,-1.6678e+01,8.8260e+00,-1.6229e+02,6.0292e-01,8.4103e-01,1.3333e+00,7.3126e+01,6.9250e-01
01550000,4.9034e-01,8.4160e-01,8.5667e-01,-1.1008e+01,1.5328e+01,-2.6193e+02,6.4467e-01,8.5667e-01,1.1463e+00,5.8916e+01,7.1605e-01
01552000,5.5556e-01,9.1491e-01,8.4872e-01,-5.5970e+00,3.3952e+01,-3.1113e+02,7.0825e-01,8.4872e-01,8.2500e-01,5.1985e+01,7.6549e-01
01552500,3.0989e-01,7.4104e-01,8.3027e-01,-2.4677e+01,1.4144e+01,-1.8574e+02,4.8296e-01,8.3027e-01,1.2826e+00,6.8182e+01,5.8592e-01
01557500,4.8905e-01,8.0537e-01,7.7744e-01,-2.0502e+01,2.2398e+01,-2.4839e+02,5.9372e-01,7.7744e-01,1.4000e+00,7.0466e+01,7.2135e-01
