date,s_snow,s_water,et_bucket,m_bucket,ps_bucket,pr_bucket,prcp(mm/day),dayl(s),tmean(c),tmin(c),tmax(c),srad(w/m2),vp(pa),q_bucket,obs_runoff(mm/day)
1980-10-01,1.5920285796289805e-05,895.6205838464246,1.1415197769610328,7.960776536893153e-06,1.1920929e-07,1.1920929e-07,0.0,11.328,13.19,4.8,21.58,310.28,864.18,0.023158724633497788,0.0014047774
1980-10-02,9.356419031412316e-06,894.577961156276,0.8963851094071281,4.678428372148726e-06,1.1920929e-07,1.1920929e-07,0.0,11.232003,9.5,2.29,16.71,285.57,720.98,0.02287346069401434,0.0012770704
1980-10-03,5.0866259963053245e-06,893.5693990644639,1.048307910270869,2.543377682562714e-06,1.1920929e-07,1.1920929e-07,0.0,11.232003,11.995,4.79,19.2,278.06,863.1,0.02260085976832249,0.0012770704
1980-10-04,2.4693335964724764e-06,892.4278644083824,1.1507808287090846,1.2346820422572641e-06,1.1920929e-07,1.1920929e-07,0.0,11.136005,13.655,3.0,24.31,331.31,760.0,0.02229623560349164,0.0012770704
1980-10-05,-1.664882974086827e-06,891.0578239244257,1.347753499267622,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.074634,16.36,7.07,25.65,304.96,1005.73,0.021936049587133938,0.0019156055
1980-10-06,-6.671244344729745e-06,889.5444032316333,1.4260513054447093,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.040006,17.38,7.0,27.76,315.25,1000.0,0.021544928770264822,0.0020433126
1980-10-07,-1.1391440193910592e-05,887.9867085471063,1.4470360624371923,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,10.944,17.8,7.0,28.6,315.38,999.94,0.021149647437070852,0.0020433126
1980-10-08,-1.4667160200083685e-05,886.4838460879462,1.400376432003778,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,10.944,17.28,5.57,28.99,321.82,920.0,0.02077515557407228,0.0020433126
1980-10-09,-1.534009404170333e-05,885.1349220712539,1.399318620561421,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,10.848,17.44,8.42,26.46,286.03,1113.85,0.020444673401771227,0.0022987267
1980-10-10,-1.2251931397223861e-05,884.0390427141308,0.9151940575639164,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,10.752436,10.7,5.52,15.88,205.25,911.84,0.020180060628212076,0.0022987267
1980-10-11,-6.8210826891400256e-06,883.1970773684674,0.6615880946462068,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,10.752,5.69,-3.65,15.03,302.02,468.58,0.019979087149819472,0.0022987267
1980-10-12,-2.7627137720490765e-06,882.4632016297421,0.6977720349012857,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,10.656,6.65,-1.12,14.42,269.41,561.12,0.019805547458815204,0.0022987267
1980-10-13,-8.256983857177121e-07,881.7657853613986,0.6879259256472547,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,10.656,6.445,0.48,12.41,224.08,637.49,0.019642026451143366,0.0025541408
1980-10-14,-4.786411386274571e-07,880.5478450532963,0.6659855583228096,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,10.56,6.11,-2.49,14.71,277.9,513.96,0.01935969073808312,0.0028095548
1980-10-15,-2.717707834644923e-07,882.4299387879989,0.6419287580764148,1.1920928955078125e-07,1.1920929e-07,6.42,6.42,10.54195,5.545,-1.18,12.27,176.68,560.6,0.019797717598644616,0.0029372617
1980-10-16,-1.63853643431836e-07,897.148754423461,0.49417508777826347,1.1920928955078125e-07,1.1920929e-07,20.62,20.62,10.464,1.515,-0.93,3.96,75.47,568.86,0.023583276605885845,0.0058745234
1980-10-17,-9.88947549305059e-08,911.6449153419068,0.47734865591090037,1.1920928955078125e-07,1.1920929e-07,8.98,8.98,10.367997,0.91,-1.42,3.24,72.46,560.0,0.028018421360353277,0.003958918
1980-10-18,-5.760963429636708e-08,916.0910517967475,0.47036487825578177,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,10.367997,0.625,-5.82,7.07,226.91,398.34,0.029539136002912397,0.0024264336
1980-10-19,-2.886141762809449e-08,916.148633168283,0.7414415518600287,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,10.272,7.57,0.71,14.43,227.0,637.97,0.02955936256657283,0.0020433126
1980-10-20,-1.504402823889027e-08,915.1789952145886,0.787061734574034,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,10.272,8.51,1.99,15.03,216.81,718.73,0.029220598170855896,0.0015324844
1980-10-21,-8.343329878585459e-09,917.7389129344963,0.7145683852277012,1.1920928955078125e-07,1.1920929e-07,2.05,2.05,10.176,7.12,1.71,12.53,186.53,696.45,0.030123485569911405,0.0014047774
1980-10-22,-4.2804895940374735e-09,927.2648331850877,0.5685961735249402,1.1920928955078125e-07,1.1920929e-07,18.63,18.63,10.114628,3.6,-0.48,7.68,111.93,600.0,0.03373531844376672,0.0049805744
1980-10-23,-2.520343524134594e-09,939.2306534686633,0.47111544528248933,1.1920928955078125e-07,1.1920929e-07,7.11,7.11,10.080003,0.695,-2.57,3.96,93.23,510.53,0.038892056599777826,0.004342039
1980-10-24,0.03062220533956432,941.5913437987849,0.43837810203193944,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,9.984,-0.245,-4.47,3.98,155.48,439.96,0.039998939376345057,0.00344809
1980-10-25,0.03265207070868181,941.1480478077434,0.40639102671078314,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,9.984,-1.325,-6.0,3.35,167.63,400.0,0.03978871060964447,0.0028095548
1980-10-26,0.03265220946308343,940.7141070018288,0.3747024974247659,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,9.887998,-2.335,-6.49,1.82,151.79,367.7,0.03958398868861914,0.0021710196
1980-10-27,0.03265224790902862,940.2812281536803,0.39651373715391974,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,9.887998,-1.525,-4.75,1.7,121.29,438.56,0.03938081725300198,0.0022987267
1980-10-28,0.03223878932785762,939.8546393009105,0.3897403637429706,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,9.791997,-1.625,-7.24,3.99,193.88,358.51,0.039181618240847614,0.0026818477
1980-10-29,0.02619172867817367,939.3754901787685,0.494895737983928,0.014801139958953938,1.1920929e-07,1.1920929e-07,0.0,9.791997,1.835,-5.0,8.67,216.65,440.0,0.03895907702130838,0.0029372617
1980-10-30,0.01666131784327777,938.7964874360503,0.6129481301106159,0.009023056698864686,1.1920929e-07,1.1920929e-07,0.0,9.696003,5.175,-0.67,11.02,191.43,585.03,0.0386918445728136,0.0030649689
1980-10-31,0.008824818655429115,938.2001176541257,0.5549141794109257,0.0046069766348477426,1.1920929e-07,1.1920929e-07,0.0,9.677953,3.72,-3.0,10.44,208.88,480.24,0.03841851275085252,0.0030649689
1980-11-01,0.004475129576791989,937.5731337742883,0.6408479404153058,0.002287623396222836,1.1920929e-07,1.1920929e-07,0.0,9.600003,6.02,-1.48,13.52,217.11,558.57,0.0381332315686744,0.0030649689
1980-11-02,0.00214001971505952,936.897499272147,0.7291621105489242,0.0010814586315537737,1.1920929e-07,1.1920929e-07,0.0,9.581953,8.04,1.03,15.05,204.46,642.44,0.03782818495413929,0.0030649689
1980-11-03,-5.6478508515805416e-05,936.2243395189005,0.7092710179651962,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,9.504,7.75,1.08,14.42,198.51,647.48,0.037526682531976045,0.0028095548
1980-11-04,-0.0015261464923011217,935.5379239381147,0.612214032077718,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,9.442628,5.61,-1.78,13.0,209.64,537.49,0.037221717325603115,0.0028095548
1980-11-05,-0.0016740242214061622,934.8222966049718,0.6956217976339287,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,9.408,7.63,-1.59,16.85,225.34,552.76,0.03690641221318444,0.0028095548
1980-11-06,-0.0008372527378636208,934.5058899313885,0.7897242252629044,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,9.34663,9.71,2.98,16.44,192.42,758.99,0.03676785643995188,0.0028095548
1980-11-07,-5.902710701134674e-05,934.793927771957,0.6704010192904618,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,9.312,7.22,0.4,14.04,196.12,628.82,0.03689396810618451,0.0028095548
1980-11-08,0.00046141808313447446,935.164808194668,0.6396735877407246,0.0002312413072414888,1.1920929e-07,1.73,1.73,9.293947,6.525,3.14,9.91,101.55,770.83,0.03705698802376138,0.0028095548
1980-11-09,0.0005272418017081282,935.0953977189996,0.4787235234293265,0.0002643158590378426,1.1920929e-07,1.1920929e-07,0.0,9.216,2.305,-2.97,7.58,169.35,485.06,0.03702642406236034,0.0028095548
1980-11-10,0.01075808479272225,934.6119062990781,0.41147016943706854,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,9.211778,0.11,-4.0,4.22,143.29,440.0,0.036814223396683256,0.0028095548
1980-11-11,0.03297510815190563,934.1022426551373,0.4220269600520612,0.018532505032539483,1.1920929e-07,1.1920929e-07,0.0,9.12,0.63,-3.5,4.76,143.56,480.0,0.036591852470618524,0.0028095548
1980-11-12,0.0360388425846931,937.2455099843762,0.4092256363437628,1.1920928955078125e-07,1.1920929e-07,7.09,7.09,9.12,0.135,-2.17,2.44,65.38,521.05,0.03798500458640602,0.0029372617
1980-11-13,0.04577971888900903,940.3647072442151,0.3474303890971225,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,9.024,-2.105,-4.3,0.09,84.66,441.64,0.039419916789250775,0.0030649689
1980-11-14,0.04577973242292324,940.0906956717548,0.2726850030428249,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,9.024,-5.485,-10.66,-0.31,171.6,278.71,0.039291721772256476,0.0028095548
1980-11-15,0.045779731652396266,939.7761837567577,0.27582882975471656,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,8.927998,-5.175,-11.96,1.61,192.05,240.0,0.03914509265693905,0.0028095548
1980-11-16,0.04577973165223343,939.4502908335921,0.2993525076752294,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,8.927998,-4.035,-8.52,0.45,147.7,320.17,0.0389937348081539,0.0028095548
1980-11-17,0.045779731652531234,939.0960750817337,0.3325597149102843,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,8.909947,-2.525,-8.0,2.95,166.31,320.06,0.0388298863596543,0.0028095548
1980-11-18,0.045779731654355296,938.7259988227183,0.37693153208122965,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,8.831997,-0.61,-5.95,4.73,161.64,399.56,0.03865943673000029,0.0028095548
1980-11-19,0.04577973165590674,938.3548643802249,0.39704621659334216,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,8.831997,0.145,-5.03,5.32,157.09,437.78,0.038489251145807264,0.0028095548
1980-11-20,0.04577973165720764,937.9837350390544,0.3854383312853692,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,8.736003,-0.12,-5.56,5.32,160.29,405.17,0.03831981707204906,0.0028095548
1980-11-21,0.04577973165828004,937.6136740840077,0.45919857484342985,0.028039696902487397,1.1920929e-07,1.1920929e-07,0.0,8.736003,2.44,-3.59,8.47,165.0,473.8,0.038151613409110025,0.0025541408
1980-11-22,0.04577973165914602,937.2457447998856,0.4928217313919387,0.028039696903111897,1.1920929e-07,1.1920929e-07,0.0,8.731778,3.5,-1.76,8.76,149.41,539.01,0.03798511061749785,0.0025541408
1980-11-23,0.04577973165982764,936.8810104714892,0.31261522985811446,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,8.64,-2.93,-7.19,1.33,130.18,358.66,0.03782077090134499,0.0025541408
1980-11-24,0.04577973166034696,936.520534383619,0.3044838440017809,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,8.64,-3.295,-9.0,2.41,156.05,320.0,0.037659048448885686,0.0025541408
1980-11-25,0.04577973166072605,936.165379821076,0.30162764584825347,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,8.635777,-3.415,-9.98,3.15,164.82,280.0,0.037500389728169145,0.0025541408
1980-11-26,0.04577973166098697,935.8166100686612,0.35685848273952864,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,8.544,-0.875,-5.73,3.98,134.68,399.56,0.03734523383636153,0.0025541408
1980-11-27,0.04577973166115178,935.4752884111755,0.3118718123775013,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,8.544,-2.785,-10.04,4.47,167.52,280.0,0.03719401290110234,0.0025541408
1980-11-28,0.04577973166124255,935.1424781334196,0.41958377220669685,0.028039496349082975,1.1920929e-07,1.1920929e-07,0.0,8.544,1.48,-3.13,6.09,126.5,480.0,0.037047152532508294,0.0024264336
1980-11-29,0.045779731661281346,934.8192425201943,0.3289822051674943,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,8.448439,-1.86,-8.11,4.39,153.29,325.53,0.036905072324564726,0.0024264336
