date,s_snow,s_water,et_bucket,m_bucket,ps_bucket,pr_bucket,prcp(mm/day),tmean(c),dayl(s),q_bucket,q_obs
1980-10-01,0.0,1303.0042478479704,0.867262553782648,0.0,0.0,3.1,3.1,6.08,11.3279915,0.020447727381611748,0.5509981
1980-10-02,0.0,1305.3454566145485,1.153183271934685,0.0,0.0,4.24,4.24,10.53,11.283633,0.021265260359010493,0.56074065
1980-10-03,0.0,1310.0566342229693,1.250723545935569,0.0,0.0,8.02,8.02,11.835,11.231995,0.02301077089311274,0.55857563
1980-10-04,0.0,1320.5623481000111,0.9406847395909146,0.0,0.0,15.27,15.27,7.38,11.135989,0.027436610643140093,0.67115676
1980-10-05,0.0,1332.0698809688904,0.8008879724567884,0.0,0.0,8.48,8.48,4.8,11.135989,0.033267115470502685,0.8216258
1980-10-06,0.0,1334.9621630407871,0.828534587104534,0.0,0.0,0.0,0.0,5.41,11.04,0.0349179147249922,0.8670913
1980-10-07,0.0,1333.5005453602193,0.8821192676027764,0.0,0.0,0.0,0.0,6.405,11.020927,0.034073690486671845,0.9114742
1980-10-08,0.0,1333.6523637776438,0.9516843921747178,0.0,0.0,2.1,2.1,7.675,10.943989,0.03416042166128875,0.9482796
1980-10-09,2.4908218820684508e-17,1335.5957368893867,0.8183026511787093,2.4908218e-17,0.0,3.55,3.55,5.48,10.848194,0.03529033280735294,0.96343476
1980-10-10,5.583626451861021e-16,1339.2128593598793,0.7273609085363894,5.5836264e-16,0.0,0.0,0.0,3.67,10.848,0.03749385261376568,0.95044464
1980-10-11,1.131544644041187e-15,1345.3457347949868,0.6265379008127429,1.1315446e-15,0.0,10.66,10.66,1.53,10.752003,0.04154888312943942,0.96126974
1980-10-12,8.685774207520091e-16,1355.0002458038164,0.8269159251773478,8.6857744e-16,0.0,12.3,12.3,5.555,10.752003,0.048839201811129676,1.082511
1980-10-13,1.900401350198862e-17,1360.78815981964,0.7597845794188847,1.9004013e-17,0.0,1.17,1.17,4.35,10.656003,0.053809533525954516,1.1366365
1980-10-14,0.0,1360.5622654461486,0.6330427020097268,0.0,0.0,0.26,0.26,1.725,10.600064,0.05360638064664967,1.1474617
1980-10-15,0.0,1359.946920139673,0.6073063216580892,0.0,0.0,0.0,0.0,1.18,10.560008,0.05305686595797494,1.1474617
1980-10-16,0.0,1359.3176445125805,0.5716143213808024,0.0,0.0,0.0,0.0,0.435,10.466656,0.05250073654160849,1.1474617
1980-10-17,0.0,1358.7346198108824,0.692494670605384,0.0,0.0,0.01,0.01,3.26,10.464003,0.05199068554203205,1.1366365
1980-10-18,0.0,1358.4768177228127,0.9686693956649766,0.0,0.0,0.19,0.19,8.5,10.368,0.05176673383615433,1.1366365
1980-10-19,0.0,1358.5378049715985,1.0264986835747476,0.0,0.0,1.88,1.88,9.405,10.366761,0.051819625963280824,1.0933361
1980-10-20,0.0,1358.878340627734,0.7446519603247272,0.0,0.0,0.91,0.91,4.62,10.272,0.05211595562334129,1.0630257
1980-10-21,0.0,1359.459183761714,0.6109309785561325,0.0,0.0,1.71,1.71,1.74,10.227642,0.052625313145256244,1.033798
1980-10-22,0.0,1359.907928135314,0.5826034004959998,0.0,0.0,0.36,0.36,1.115,10.1760025,0.053022235771063464,1.0013226
1980-10-23,0.0,1359.5578732597949,0.5541002002162286,0.0,0.0,0.0,0.0,0.485,10.109247,0.052712350158369614,0.9493621
1980-10-24,0.0,1358.8600788410415,0.6428356514586181,0.0,0.0,0.0,0.0,2.71,10.079994,0.05210002154219952,0.92446434
1980-10-25,0.0,1358.8133809264475,0.5860571788930398,0.0,0.0,0.19,0.19,1.475,9.995136,0.0520592980460228,0.9017316
1980-10-26,0.0,1364.1863568663007,0.7181816981939881,0.0,0.0,12.62,12.62,4.445,9.983992,0.05696019652874662,1.0024052
1980-10-27,0.0,1371.353442638817,0.5727974722245911,0.0,0.0,2.99,2.99,1.16,9.890664,0.06422316645286497,0.989415
1980-10-28,6.472384274471918e-07,1372.0877020266,0.48928657874601555,0.0,1.3086796e-05,0.21998692,0.22,-1.12,9.888011,0.0650176652394113,0.9969926
1980-10-29,0.0015574563736897803,1371.6377717300873,0.4663970696048134,0.0,0.0,0.0,0.0,-1.66,9.792203,0.06452966379889163,0.9840025
1980-10-30,0.0015565621850794507,1371.07876729421,0.5240810554011528,0.0,0.0,0.0,0.0,0.02,9.790775,0.06392845807260863,0.9731774
1980-10-31,0.000626627571816754,1370.4679694777005,0.5777199311710878,0.0006266276,0.0,0.01,0.01,1.585,9.696,0.06327795082491183,0.9731774
1980-11-01,0.00022653903479666034,1370.5681069995803,0.5726390000500102,0.00022653904,0.0,1.47,1.47,1.465,9.68915,0.06338414308360758,0.9569397
1980-11-02,0.00015399776106181975,1370.7519061184335,0.4686326487340775,0.0,0.0,0.0,0.0,-1.3,9.600005,0.06357951942885523,0.92662936
1980-11-03,0.0,1370.2535529014453,0.37809396785138843,0.0,0.03,0.0,0.03,-4.31,9.593144,0.0630511676592456,0.9147217
1980-11-04,0.12407584862673329,1370.3467442891622,0.5486937322401793,0.12407585,0.0,1.46,1.46,1.125,9.504197,0.06314963387809756,0.9093092
1980-11-05,0.04543521070298779,1371.17316981241,0.6361871805657042,0.045435213,0.0,1.31,1.31,3.305,9.497148,0.06402959285917498,0.8887415
1980-11-06,0.13363944905091354,1371.5421329099327,0.4260188254329606,0.0,0.7949459,0.0450541,0.84,-2.38,9.410661,0.06442640540615358,0.8605962
1980-11-07,0.3813590374625214,1373.429456217593,0.488887882763154,0.0,4.4614075e-07,4.9899993,4.99,-0.43,9.40677,0.06649497527161834,0.84544104
1980-11-08,0.38169426595663164,1379.0622384887995,0.45468004597959655,0.0,0.006685599,6.833315,6.84,-1.4,9.323147,0.07307206064553895,0.84544104
1980-11-09,3.33962054226536,1380.0223044670627,0.3486428748553567,0.0,1.99,0.0,1.99,-5.12,9.312,0.07425626715352501,0.84544104
1980-11-10,5.4295739117077195,1380.1619939772565,0.443276948073966,0.0,0.036598124,3.3934019,3.43,-1.64,9.23632,0.07443016106746612,0.8497711
1980-11-11,5.4330793385412885,1383.2276410885245,0.4787150299423866,0.0,6.276369e-07,3.5099993,3.51,-0.54,9.216008,0.07835069487539467,0.83461595
1980-11-12,4.726817282587645,1385.0565648021345,0.5272162883747717,2.0039346,0.0,0.21,0.21,0.925,9.160064,0.08078729906067578,0.8400285
1980-11-13,3.9136364255356737,1385.8774722998915,0.47529596339442465,0.0,1.4901161e-07,0.9999999,1.0,-0.52,9.119994,0.08190546194044206,0.85626614
1980-11-14,3.913070116375023,1386.7632960859805,0.4538855032092338,0.0,0.00016507745,1.8598349,1.86,-1.16,9.100942,0.08312941444281713,0.85843116
1980-11-15,4.192844496175646,1386.9986624593428,0.3861520304326173,0.0,0.0,0.0,0.0,-3.335,9.026661,0.08345768707876923,0.84435856
1980-11-16,4.843984152100264,1386.5629406114372,0.32660404388252123,0.0,1.41,0.0,1.41,-5.65,9.022767,0.0828509901774665,0.81296575
1980-11-17,5.5588906659436725,1386.1520236914187,0.3353898637418271,0.0,0.0,0.0,0.0,-5.18,8.957255,0.08228287301533788,0.8043056
1980-11-18,8.050404679429757,1385.7281261077394,0.348499309393678,0.0,4.65,0.0,4.65,-4.6,8.927998,0.08170089118503673,0.79564553
1980-11-19,11.300431039445558,1385.2970415955208,0.3466460147979549,0.0,1.8,0.0,1.8,-4.64,8.908939,0.08111326363274175,0.7783254
1980-11-20,12.029807842004152,1384.8984066639748,0.29392637125148113,0.0,0.0,0.0,0.0,-6.8,8.84315,0.08057363123224776,0.7696653
1980-11-21,12.032036974504619,1384.480879854486,0.3899630041974492,0.0,0.0,0.0,0.0,-2.865,8.832008,0.08001227379785142,0.7675003
1980-11-22,12.032036974504619,1383.9893198720308,0.4258930846549826,0.0,0.0,0.0,0.0,-1.54,8.787647,0.07935639067102528,0.7404375
1980-11-23,12.04328587637118,1383.3894999779272,0.4029450865500753,0.0,0.0,0.0,0.0,-2.255,8.747142,0.07856333613034253,0.7252823
1980-11-24,12.060713738223983,1387.860137542153,0.48143310680729673,0.23873234,0.0,11.42,11.42,0.265,8.736003,0.08467030694269524,0.71878725
1980-11-25,8.406262313052348,1405.7458317730475,0.5477548082292392,4.9726844,0.0,16.61,16.61,2.035,8.691633,0.11423491574488219,0.82920337
1980-11-26,8.053942578327831,1419.4895169901317,0.4020426363403859,0.0,10.147889,0.18211062,10.33,-2.495,8.651134,0.1437954755837497,0.9591047
1980-11-27,12.875975597472072,1419.0041437964708,0.29739754995048434,0.0,0.0,0.0,0.0,-6.655,8.6399975,0.14263151895009393,0.95585716
1980-11-28,13.749839761951804,1418.559143736046,0.33046345603899857,0.0,3.33,0.0,3.33,-5.175,8.620939,0.1415726603272753,0.9840025
1980-11-29,18.864138889172164,1420.6958632047174,0.4198342024467892,0.0,0.4175599,11.092441,11.51,-1.765,8.573256,0.14672968021715152,1.0457056
1980-11-30,19.565536581372193,1426.3527222998778,0.4030787218824958,0.0,1.7617892,0.12821086,1.89,-2.355,8.54665,0.16130788150712258,1.0305505
1980-12-01,21.18151856614484,1425.8332030390368,0.341877878186421,0.0,1.78,0.0,1.78,-4.65,8.542761,0.15991071216286956,1.0262204
1980-12-02,23.84510639603816,1425.3328513228312,0.35020596193839704,0.0,3.97,0.0,3.97,-4.26,8.511544,0.15857653238458688,0.9904975
