date,s_snow,s_water,et_bucket,m_bucket,ps_bucket,pr_bucket,prcp(mm/day),tmean(c),dayl(s),q_bucket,q_obs
1980-10-01,0.0,1303.0042478479704,0.867262553782648,1.1920928955078125e-07,0.0,3.1,3.1,6.08,11.3279915,0.020447727381611748,0.5509981
1980-10-02,0.0,1305.4294830034112,1.1532575034919688,1.1920928955078125e-07,0.0,4.24,4.24,10.53,11.283633,0.021295201711870094,0.56074065
1980-10-03,0.0,1310.1292806378563,1.2507929021597608,1.1920928955078125e-07,0.0,8.02,8.02,11.835,11.231995,0.023038779337151233,0.55857563
1980-10-04,0.0,1321.197601285412,0.941137253611281,1.1920928955078125e-07,0.0,15.27,15.27,7.38,11.135989,0.027730016409677823,0.67115676
1980-10-05,0.0,1332.6583525150118,0.8012417825610142,1.1920928955078125e-07,0.0,8.48,8.48,4.8,11.135989,0.033596544263749306,0.8216258
1980-10-06,0.0,1335.7898709010733,0.8290482979865739,1.1920928955078125e-07,0.0,0.0,0.0,5.41,11.04,0.03540523886234554,0.8670913
1980-10-07,0.0,1334.3453501082433,0.8826781114279155,1.1920928955078125e-07,0.0,0.0,0.0,6.405,11.020927,0.0345591246911049,0.9114742
1980-10-08,0.0,1334.441282250536,0.9522473585201777,1.1920928955078125e-07,0.0,2.1,2.1,7.675,10.943989,0.034614683790062994,0.9482796
1980-10-09,0.0,1336.3953642706226,0.8187925727829398,1.1920928955078125e-07,0.0,3.55,3.55,5.48,10.848194,0.03576603331998416,0.96343476
1980-10-10,0.0,1337.3385004414172,0.7263428960551566,1.1920928955078125e-07,0.0,0.0,0.0,3.67,10.848,0.03633535597376913,0.95044464
1980-10-11,9.887836461108778e-17,1341.5917424671504,0.624789637587968,1.1920928955078125e-07,0.0,10.66,10.66,1.53,10.752003,0.03901752343811921,0.96126974
1980-10-12,3.1367567685545853e-16,1353.167254282446,0.8257973055428274,1.1920928955078125e-07,0.0,12.3,12.3,5.555,10.752003,0.047362949452402915,1.082511
1980-10-13,1.90253918111976e-16,1358.8053384624495,0.7586774878557605,1.1920928955078125e-07,0.0,1.17,1.17,4.35,10.656003,0.05205228772923873,1.1366365
1980-10-14,1.1539483318040146e-16,1358.6858644471995,0.6321696497514099,1.1920928955078125e-07,0.0,0.26,0.26,1.725,10.600064,0.05194825777937959,1.1474617
1980-10-15,7.675582297053492e-17,1358.1228542751587,0.60649175550537,1.1920928955078125e-07,0.0,0.0,0.0,1.18,10.560008,0.051460817810006235,1.1474617
1980-10-16,-7.81609723312111e-16,1357.4827605367605,0.570842723982001,1.1920928955078125e-07,0.0,0.0,0.0,0.435,10.466656,0.05091219436832834,1.1474617
1980-10-17,4.3587849250586806e-16,1356.8225766736455,0.6915201759077452,1.1920928955078125e-07,0.0,0.01,0.01,3.26,10.464003,0.050352478136599425,1.1366365
1980-10-18,2.6436716673323185e-16,1356.0281258243274,0.9669233423863851,1.1920928955078125e-07,0.0,0.19,0.19,8.5,10.368,0.04968707958796641,1.1366365
1980-10-19,1.6034673239730972e-16,1355.9638803933055,1.0245538498118818,1.1920928955078125e-07,0.0,1.88,1.88,9.405,10.366761,0.04963365617980142,1.0933361
1980-10-20,9.725519669630357e-17,1356.4674926092828,0.7433308393315445,1.1920928955078125e-07,0.0,0.91,0.91,4.62,10.272,0.05005398042275627,1.0630257
1980-10-21,5.898826072017933e-17,1357.111937434906,0.6098761432859914,1.1920928955078125e-07,0.0,1.71,1.71,1.74,10.227642,0.050597042123227604,1.033798
1980-10-22,9.001880764867203e-16,1357.4939855960363,0.5815692340624579,1.1920928955078125e-07,0.0,0.36,0.36,1.115,10.1760025,0.050921764782387455,1.0013226
