basinID,S0,S1,f,Smax,Qmax,Df,Tmax,Tmin
01013500,299.29773,825.38446,0.014409807,1532.8143,53.122093,3.193377,0.6111679,-1.5715582
01022500,146.59926,594.32227,0.03325719,851.6647,20.669231,1.8599603,-0.060896717,-3.5425947
01030500,537.98315,191.38066,0.022115868,1021.88794,136.4724,2.3450167,-0.21467508,-2.371271
01031500,310.9888,136.89622,0.044581197,671.07355,169.94029,2.2269776,-0.4340332,-3.1014147
01047000,290.5512,180.95866,0.075627655,989.0753,115.6403,1.8920177,-0.09206643,-4.263366
01052500,152.5447,598.848,0.04213237,1074.3136,35.73043,4.126365,0.58668834,-3.3005598
01054200,443.2718,461.968,0.17408554,933.6362,108.48747,2.6167278,0.9545748,-4.8722906
01055000,318.59564,432.14517,0.13688347,1252.6364,77.84473,2.6645126,-0.11412327,-2.4592519
01057000,552.1224,331.19235,0.053139042,1107.5828,137.26527,2.50103,1.0330647,-3.1567535
01073000,439.72815,255.6548,0.03936873,852.2812,164.96152,1.4368504,0.82314533,-2.4020698
01078000,392.25412,1069.6753,0.039008036,1509.7546,104.70689,2.2130425,0.7046249,-2.384992
01118300,432.4486,481.74036,0.037486583,1127.9794,153.27127,5.7587924,0.45979312,-1.984253
