date,y_obs,y_sim
1980-10-01,0.12551206,0.4278057
1980-10-02,0.12698868,0.4114559
1980-10-03,0.17719351,0.6430084
1980-10-04,0.26579025,0.91012394
1980-10-05,0.28055638,0.66953224
1980-10-06,0.20672578,0.6745547
1980-10-07,0.17719351,0.66045827
1980-10-08,0.14766125,0.64562297
1980-10-09,0.14027819,0.59655446
1980-10-10,0.13437174,0.6869681
1980-10-11,0.14323144,0.83149165
1980-10-12,0.16242737,0.8130548
1980-10-13,0.16242737,0.7155947
1980-10-14,0.14766125,0.740619
1980-10-15,0.14470805,0.7155788
1980-10-16,0.14766125,0.66369206
1980-10-17,0.14470805,0.57896173
1980-10-18,0.13732497,0.68672186
1980-10-19,0.16242737,1.0333326
1980-10-20,0.1919596,0.7067958
1980-10-21,0.17719351,0.74885476
1980-10-22,0.16242737,0.76953876
1980-10-23,0.14766125,0.7995083
1980-10-24,0.13732497,0.8227741
1980-10-25,0.7826047,0.96064717
1980-10-26,2.8498623,4.1754065
1980-10-27,1.0926932,1.3401017
1980-10-28,0.70877403,1.5814558
1980-10-29,0.56111276,1.4699463
1980-10-30,0.472516,1.3452989
1980-10-31,0.3986854,1.3133808
1980-11-01,0.35438702,1.2275977
1980-11-02,0.32485473,1.2323442
1980-11-03,0.32485473,1.267086
1980-11-04,0.2953225,1.1724925
1980-11-05,0.2953225,1.5234832
1980-11-06,0.26579025,1.2349592
1980-11-07,0.26579025,1.1413943
1980-11-08,0.26579025,1.2352629
1980-11-09,0.26579025,1.1743102
1980-11-10,0.3100886,1.9729438
1980-11-11,0.32485473,1.3307514
1980-11-12,0.2953225,1.3267576
1980-11-13,0.28055638,1.2424023
1980-11-14,0.26579025,1.1016302
1980-11-15,0.25102413,1.0903018
1980-11-16,0.236258,1.1912905
1980-11-17,0.236258,0.857019
1980-11-18,0.32485473,3.0156286
1980-11-19,0.41345155,1.5591601
1980-11-20,0.3691531,1.2324963
1980-11-21,0.3396209,1.2657735
1980-11-22,0.3396209,1.4407585
1980-11-23,0.38391924,1.4184953
1980-11-24,0.69400793,1.9137154
1980-11-25,3.27808,3.8898206
1980-11-26,1.8309999,1.7459116
1980-11-27,1.2994189,1.720863
1980-11-28,1.2108225,2.3109694
1980-11-29,1.2994189,2.3739982
1980-11-30,1.0926932,1.7670519
1980-12-01,0.91549987,1.6939374
1980-12-02,0.8269031,1.5360898
1980-12-03,0.7826047,1.9117638
1980-12-04,0.66447574,0.98883075
1980-12-05,0.6349434,1.024623
1980-12-06,0.6349434,1.1390591
1980-12-07,0.590645,1.5791851
1980-12-08,0.6054112,1.662364
1980-12-09,0.64970946,1.3337797
1980-12-10,0.66447574,1.9577701
1980-12-11,0.62017727,1.033343
1980-12-12,0.53158057,0.8608343
1980-12-13,0.53158057,1.4526713
1980-12-14,0.4872822,1.0182686
1980-12-15,0.41345155,0.8055502
1980-12-16,0.41345155,1.1110561
1980-12-17,0.44298378,1.0310932
1980-12-18,0.44298378,0.6695423
1980-12-19,0.42821765,0.86771667
1980-12-20,0.44298378,0.5973649
1980-12-21,0.44298378,0.5658211
1980-12-22,0.41345155,0.5702064
1980-12-23,0.38391924,0.6781425
1980-12-24,0.3691531,0.7936933
1980-12-25,0.35438702,0.64104164
1980-12-26,0.3396209,0.53966814
1980-12-27,0.32485473,0.55855066
1980-12-28,0.3396209,0.686898
1980-12-29,0.35438702,1.2632338
1980-12-30,0.38391924,1.2383198
1980-12-31,0.3691531,1.2666975
1981-01-01,0.35438702,0.6081368
1981-01-02,0.42821765,0.7692685
1981-01-03,0.3691531,0.5878393
1981-01-04,0.3986854,0.53288704
1981-01-05,0.44298378,0.49357885
1981-01-06,0.41345155,0.59007674
1981-01-07,0.38391924,0.9166055
1981-01-08,0.3691531,0.56670827
1981-01-09,0.3691531,0.48417276
1981-01-10,0.35438702,0.49075234
1981-01-11,0.3396209,0.49000266
1981-01-12,0.32485473,0.48889354
1981-01-13,0.3100886,0.48599777
1981-01-14,0.3100886,0.48034167
1981-01-15,0.3396209,0.57591665
1981-01-16,0.41345155,0.67637867
1981-01-17,0.3691531,0.6592262
1981-01-18,0.3396209,0.53073335
1981-01-19,0.38391924,0.6685141
1981-01-20,0.3691531,1.0414184
1981-01-21,0.3396209,0.6384115
1981-01-22,0.35438702,0.624737
1981-01-23,0.3691531,0.8089868
1981-01-24,0.35438702,0.94731265
1981-01-25,0.35438702,0.68389124
1981-01-26,0.35438702,0.99211955
1981-01-27,0.35438702,0.94835633
1981-01-28,0.3691531,1.0034002
1981-01-29,0.35438702,0.94398457
1981-01-30,0.3100886,0.5699058
1981-01-31,0.32485473,0.5635323
1981-02-01,0.3396209,0.57989055
1981-02-02,0.5168144,2.4608026
1981-02-03,7.3830624,2.368623
1981-02-04,4.1345153,0.6087434
1981-02-05,2.2149189,0.5806142
1981-02-06,0.7383062,0.60456777
1981-02-07,0.7973708,0.83107436
1981-02-08,0.42821765,1.213414
1981-02-09,0.3396209,1.0763202
1981-02-10,0.25102413,0.7287966
1981-02-11,6.378966,2.4049888
1981-02-12,8.977804,4.301924
1981-02-13,4.341241,0.902164
1981-02-14,3.27808,1.1532853
1981-02-15,2.657903,1.360549
1981-02-16,1.8605319,1.7715486
1981-02-17,1.8605319,1.6168227
1981-02-18,1.875298,1.4752386
1981-02-19,1.8014673,1.4244704
1981-02-20,4.149282,3.0918486
1981-02-21,9.52415,4.3446784
1981-02-22,6.6742887,3.1237779
1981-02-23,4.828523,1.846062
1981-02-24,6.187007,4.7901144
1981-02-25,4.6956286,2.0071023
1981-02-26,3.6029346,2.0824738
1981-02-27,2.9679909,1.9941885
1981-02-28,2.5840724,1.9599897
1981-03-01,2.3478143,2.1585512
1981-03-02,2.082024,1.7994918
1981-03-03,1.8605319,1.5871096
1981-03-04,1.7128706,1.1438656
1981-03-05,1.6685722,1.620951
1981-03-06,1.6242738,1.7211196
1981-03-07,1.5504432,1.6082736
1981-03-08,1.4766124,1.6733415
1981-03-09,1.4766124,1.5942907
1981-03-10,1.4470804,1.5629246
1981-03-11,5.4487,1.5659065
1981-03-12,1.2994189,1.5540758
1981-03-13,1.2255884,1.4614464
1981-03-14,1.1369917,1.4559647
1981-03-15,1.0631611,1.3697923
1981-03-16,1.0483949,1.325888
1981-03-17,1.0188627,1.047312
1981-03-18,0.90073365,0.7982801
1981-03-19,0.91549987,0.7733164
1981-03-20,0.88596755,0.76192546
1981-03-21,0.90073365,0.8334486
1981-03-22,0.87120146,1.2912748
1981-03-23,0.8564353,1.2097967
1981-03-24,0.84166914,1.1750481
1981-03-25,0.8121369,1.1590292
1981-03-26,0.7973708,1.2442343
