date,s_snow,s_water,et_bucket,m_bucket,ps_bucket,pr_bucket,prcp(mm/day),dayl(s),tmean(c),tmin(c),tmax(c),srad(w/m2),vp(pa),q_bucket,obs_runoff(mm/day)
1980-10-01,0.0,996.223780216553,1.428783461235397,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.423997,11.56,6.47,16.65,272.4,960.76,0.5994921733877264,0.9325426
1980-10-02,0.0,993.9025998159817,1.5387165804082557,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.327997,12.92,8.2,17.64,252.49,1095.9,0.5647940154786967,0.790996
1980-10-03,0.0,992.859891236256,1.6608446128625887,1.1920928955078125e-07,1.1920929e-07,5.96,5.96,11.295883,14.22,11.0,17.44,135.18,1320.03,0.5498679082838192,0.7118964
1980-10-04,0.0,1003.3196479233308,1.4059195258656763,1.1920928955078125e-07,1.1920929e-07,31.3,31.3,11.232,11.46,8.35,14.57,135.31,1108.03,0.7193495088302739,1.3155513
1980-10-05,0.0,1025.6939970842107,1.2509975085910214,1.1920928955078125e-07,1.1920929e-07,2.39,2.39,11.135995,9.405,5.39,13.42,209.76,897.95,1.2780040078720307,1.9025536
1980-10-06,0.0,1024.3270898321646,1.2565346934143566,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.135995,9.495,7.19,11.8,139.17,1015.11,1.233911393678048,1.7485175
1980-10-07,0.0,1023.9434572331294,1.1701419656685683,1.1920928955078125e-07,1.1920929e-07,7.06,7.06,11.04,8.525,6.39,10.66,99.93,953.39,1.22181215988663,1.5986445
1980-10-08,0.0,1026.7604328329717,1.1084952859144357,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,11.04,7.645,3.33,11.96,248.36,776.85,1.3134955675796434,1.3779982
1980-10-09,0.0,1024.3279007344092,1.2427792807048939,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,10.943992,9.595,5.2,13.99,248.55,883.13,1.2339370948778963,1.1698414
1980-10-10,0.0,1021.9543235544747,0.9119113907711491,1.1920928955078125e-07,1.1920929e-07,1.1920929e-07,0.0,10.943992,4.875,-1.75,11.5,322.27,538.6,1.1609542024621098,0.9949897
1980-10-11,0.0,1022.8981787866335,0.935533586362127,1.1920928955078125e-07,1.1920929e-07,15.2,15.2,10.847998,5.38,-1.21,11.97,237.66,560.21,1.1894441728410043,0.96584773
